cliente_id,oferta_recomendada_id,ultimo_motivo_rechazo_movil,dias_desde_ultimo_rechazo_movil,n_reclamos,dias_mora_prom,motivo_rechazo_misma_oferta,dias_desde_rechazo_misma_oferta
CLI000791,OF002,precio,151.0,0.0,15.0,,
CLI000802,OF002,,,3.0,25.166666666666668,,
CLI000818,OF002,,,1.0,18.666666666666668,,
CLI000828,OF002,,,0.0,15.166666666666666,,
CLI000869,OF003,ya_tiene_similar,0.0,0.0,16.833333333333332,,
CLI000906,OF003,no_necesita,31.0,0.0,13.833333333333334,no_necesita,31.0
CLI000920,OF004,precio,0.0,0.0,0.0,,
CLI001014,OF002,,,0.0,18.166666666666668,,
CLI001020,OF002,ya_tiene_similar,31.0,0.0,15.333333333333334,,
CLI001047,OF004,otro,0.0,0.0,0.0,,
CLI001239,OF002,no_necesita,61.0,0.0,10.833333333333334,,
CLI001260,OF004,,,3.0,10.833333333333334,,
CLI001275,OF004,precio,0.0,0.0,9.5,,
CLI001286,OF002,no_confia,0.0,0.0,24.0,,
CLI001291,OF004,ya_tiene_similar,31.0,2.0,4.0,,
CLI001292,OF004,,,0.0,18.5,,
CLI001302,OF004,,,3.0,21.0,,
CLI001306,OF003,no_necesita,61.0,0.0,10.5,,
CLI001347,OF004,,,3.0,4.166666666666667,,
CLI001375,OF002,ya_tiene_similar,61.0,0.0,6.166666666666667,,
CLI001409,OF004,,,0.0,21.166666666666668,,
CLI001534,OF003,,,0.0,15.5,,
CLI001550,OF004,,,0.0,23.666666666666668,,
CLI001556,OF003,,,0.0,16.666666666666668,,
CLI001563,OF002,no_necesita,31.0,0.0,6.833333333333333,no_necesita,31.0
CLI001613,OF002,precio,0.0,0.0,2.6666666666666665,,
CLI001615,OF002,,,0.0,18.666666666666668,,
CLI001652,OF003,,,0.0,26.83333333333333,,
CLI001689,OF004,precio,31.0,1.0,14.5,precio,31.0
CLI001719,OF003,mal_momento,0.0,2.0,8.833333333333334,,
CLI001722,OF002,mal_momento,0.0,0.0,10.5,mal_momento,0.0
CLI001741,OF002,ya_tiene_similar,31.0,0.0,4.166666666666667,,
CLI001785,OF004,precio,61.0,0.0,0.0,,
CLI001790,OF002,no_necesita,92.0,0.0,15.5,,
CLI001799,OF004,,,0.0,15.833333333333334,,
CLI001844,OF004,precio,0.0,0.0,0.0,,
CLI001851,OF003,ya_tiene_similar,0.0,0.0,23.666666666666668,,
CLI001862,OF004,,,3.0,8.0,,
CLI001906,OF003,,,0.0,30.666666666666668,,
CLI001909,OF003,,,1.0,16.166666666666668,,
CLI001913,OF003,,,0.0,18.0,,
CLI002012,OF003,no_confia,31.0,0.0,2.1666666666666665,,
CLI002041,OF002,ya_tiene_similar,0.0,0.0,0.0,,
CLI002048,OF004,no_necesita,61.0,1.0,14.666666666666666,,
CLI002051,OF002,,,0.0,17.5,,
CLI002084,OF002,precio,151.0,0.0,18.83333333333333,precio,151.0
CLI002170,OF002,no_confia,0.0,2.0,0.0,,
CLI002218,OF003,,,3.0,15.5,,
CLI002241,OF002,,,3.0,4.5,,
CLI002264,OF003,precio,31.0,0.0,12.666666666666666,precio,31.0
CLI002310,OF003,no_necesita,0.0,0.0,0.0,,
CLI002317,OF002,ya_tiene_similar,92.0,0.0,18.0,,
CLI002323,OF004,no_confia,0.0,0.0,2.833333333333333,,
CLI002372,OF004,precio,61.0,0.0,26.33333333333333,,
CLI002390,OF003,mal_momento,61.0,3.0,16.333333333333332,mal_momento,61.0
CLI002416,OF002,mal_momento,0.0,0.0,14.166666666666666,mal_momento,0.0
CLI002417,OF004,,,2.0,29.166666666666668,,
CLI002447,OF004,no_necesita,120.0,3.0,9.5,no_necesita,120.0
CLI002467,OF003,ya_tiene_similar,61.0,0.0,15.5,,
CLI002484,OF002,precio,92.0,3.0,9.333333333333334,precio,92.0
CLI002552,OF002,no_necesita,31.0,1.0,17.333333333333332,,
CLI002578,OF004,no_confia,61.0,3.0,6.5,,
CLI002590,OF002,,,0.0,15.0,,
CLI002603,OF002,no_necesita,92.0,0.0,17.666666666666668,no_necesita,92.0
CLI002623,OF004,,,3.0,16.833333333333332,,
CLI002643,OF004,,,0.0,18.83333333333333,,
CLI002680,OF003,,,0.0,15.333333333333334,,
CLI002691,OF003,precio,61.0,0.0,0.0,,
CLI002743,OF002,mal_momento,61.0,0.0,0.0,,
CLI002763,OF002,precio,31.0,0.0,14.166666666666666,,
CLI002764,OF004,,,0.0,16.0,,
CLI002784,OF002,,,0.0,22.83333333333333,,
CLI002785,OF003,precio,151.0,3.0,3.8333333333333335,,
CLI002811,OF003,precio,31.0,0.0,4.166666666666667,precio,31.0
CLI002823,OF002,precio,0.0,0.0,13.0,precio,0.0
CLI002829,OF003,precio,61.0,0.0,9.333333333333334,,
CLI002844,OF003,ya_tiene_similar,92.0,0.0,18.83333333333333,ya_tiene_similar,92.0
CLI002856,OF003,no_confia,0.0,3.0,9.0,,
CLI002889,OF003,no_necesita,0.0,2.0,4.833333333333333,,
CLI002934,OF003,,,3.0,0.0,,
CLI002985,OF004,,,0.0,15.166666666666666,,
CLI002998,OF003,precio,120.0,0.0,23.5,,
CLI003022,OF004,,,3.0,16.833333333333332,,
CLI003032,OF002,precio,31.0,0.0,0.0,,
CLI003046,OF002,,,0.0,15.0,,
CLI003064,OF002,,,3.0,25.666666666666668,,
CLI003069,OF002,mal_momento,0.0,0.0,12.166666666666666,,
CLI003086,OF002,precio,31.0,3.0,15.666666666666666,,
CLI003103,OF002,,,0.0,24.83333333333333,,
CLI003197,OF004,no_confia,0.0,0.0,16.666666666666668,,
CLI003232,OF002,no_confia,151.0,0.0,18.33333333333333,,
CLI003269,OF004,,,3.0,8.166666666666666,,
CLI003323,OF004,,,0.0,15.833333333333334,,
CLI003365,OF002,,,0.0,20.83333333333333,,
CLI003380,OF002,mal_momento,61.0,0.0,7.333333333333333,mal_momento,61.0
CLI003394,OF003,ya_tiene_similar,0.0,0.0,20.5,,
CLI003484,OF002,no_necesita,0.0,0.0,16.333333333333332,,
CLI003532,OF003,otro,151.0,0.0,22.83333333333333,otro,151.0
CLI003545,OF002,,,0.0,25.166666666666668,,
CLI003556,OF003,no_confia,31.0,0.0,0.0,,
CLI003633,OF003,,,2.0,19.666666666666668,,
CLI003645,OF002,precio,92.0,0.0,20.33333333333333,precio,92.0
CLI003651,OF003,,,0.0,24.83333333333333,,
CLI003717,OF003,,,0.0,15.666666666666666,,
CLI003745,OF003,,,1.0,19.666666666666668,,
CLI003786,OF002,ya_tiene_similar,61.0,0.0,0.0,,
CLI003787,OF003,,,1.0,22.33333333333333,,
CLI003841,OF002,,,0.0,16.5,,
CLI003858,OF003,ya_tiene_similar,0.0,2.0,34.5,,
CLI003864,OF004,precio,151.0,2.0,28.33333333333333,precio,151.0
CLI003869,OF003,,,0.0,19.83333333333333,,
CLI003910,OF004,mal_momento,151.0,2.0,18.33333333333333,mal_momento,151.0
CLI003939,OF002,,,0.0,15.333333333333334,,
CLI003959,OF003,no_necesita,61.0,0.0,5.166666666666667,,
CLI003975,OF002,precio,61.0,0.0,11.166666666666666,,
CLI003988,OF003,precio,31.0,0.0,13.666666666666666,precio,31.0
CLI004071,OF003,,,3.0,16.166666666666668,,
CLI004129,OF003,no_necesita,61.0,0.0,9.5,,
CLI004131,OF002,,,0.0,16.666666666666668,,
CLI004201,OF004,ya_tiene_similar,31.0,3.0,1.5,ya_tiene_similar,31.0
CLI004203,OF004,precio,31.0,0.0,7.666666666666667,ya_tiene_similar,61.0
CLI004208,OF003,no_necesita,61.0,0.0,0.0,,
CLI004230,OF003,ya_tiene_similar,31.0,3.0,23.666666666666668,,
CLI004231,OF004,mal_momento,92.0,1.0,22.33333333333333,,
CLI004260,OF003,,,0.0,30.666666666666668,,
CLI004269,OF002,precio,61.0,0.0,20.666666666666668,,
CLI004347,OF004,otro,0.0,1.0,26.5,,
CLI004363,OF002,,,0.0,18.5,,
CLI004370,OF003,otro,61.0,0.0,8.666666666666666,otro,61.0
CLI004381,OF003,otro,0.0,0.0,2.6666666666666665,,
CLI004440,OF002,no_confia,31.0,0.0,0.0,,
CLI004532,OF004,precio,0.0,2.0,11.0,,
CLI004553,OF003,,,0.0,24.166666666666668,,
CLI004591,OF004,ya_tiene_similar,0.0,0.0,0.0,,
CLI004614,OF002,precio,0.0,0.0,7.666666666666667,,
CLI004650,OF004,precio,31.0,3.0,10.5,,
CLI004653,OF004,ya_tiene_similar,0.0,0.0,4.166666666666667,ya_tiene_similar,0.0
CLI004699,OF003,,,0.0,16.666666666666668,,
CLI004702,OF003,,,0.0,18.33333333333333,,
CLI004710,OF002,precio,0.0,0.0,9.666666666666666,,
CLI004724,OF002,,,0.0,19.0,,
CLI004748,OF003,no_necesita,31.0,1.0,17.833333333333332,no_necesita,31.0
CLI004751,OF003,,,0.0,17.166666666666668,,
CLI004796,OF004,mal_momento,61.0,0.0,17.666666666666668,mal_momento,61.0
CLI004812,OF004,precio,120.0,3.0,9.0,precio,120.0
CLI004855,OF004,no_confia,61.0,3.0,10.833333333333334,,
CLI004900,OF002,otro,0.0,0.0,12.5,precio,0.0
CLI004931,OF004,no_necesita,0.0,2.0,24.33333333333333,,
CLI004993,OF003,precio,31.0,1.0,2.5,,
CLI005013,OF004,ya_tiene_similar,0.0,0.0,5.666666666666667,,
CLI005043,OF004,,,3.0,7.5,,
CLI005067,OF002,precio,0.0,0.0,0.0,,
CLI005097,OF004,precio,31.0,0.0,11.666666666666666,,
CLI005106,OF003,mal_momento,61.0,0.0,0.0,mal_momento,61.0
CLI005139,OF003,,,3.0,19.33333333333333,,
CLI005156,OF003,precio,0.0,0.0,16.0,,
CLI005170,OF004,precio,92.0,1.0,18.0,precio,92.0
CLI005179,OF002,precio,120.0,0.0,16.5,,
CLI005184,OF002,mal_momento,0.0,0.0,0.8333333333333334,mal_momento,31.0
CLI005219,OF003,,,3.0,20.83333333333333,,
CLI005248,OF002,precio,61.0,0.0,23.166666666666668,,
CLI005262,OF002,,,0.0,17.5,,
CLI005280,OF002,,,0.0,18.83333333333333,,
CLI005283,OF003,no_necesita,0.0,0.0,8.666666666666666,,
CLI005332,OF002,ya_tiene_similar,61.0,0.0,6.833333333333333,,
CLI005424,OF002,precio,92.0,0.0,16.666666666666668,precio,92.0
CLI005500,OF002,,,3.0,13.0,,
CLI005518,OF002,no_necesita,61.0,2.0,28.83333333333333,no_necesita,61.0
CLI005537,OF003,,,3.0,26.5,,
CLI005576,OF003,no_necesita,0.0,3.0,10.166666666666666,,
CLI005587,OF004,no_necesita,31.0,0.0,8.5,,
CLI005594,OF003,,,0.0,15.666666666666666,,
CLI005626,OF002,,,2.0,26.166666666666668,,
CLI005653,OF004,,,1.0,29.33333333333333,,
CLI005654,OF002,,,3.0,4.333333333333333,,
CLI005663,OF003,,,0.0,25.83333333333333,,
CLI005669,OF004,,,3.0,8.833333333333334,,
CLI005685,OF002,no_necesita,61.0,0.0,19.5,,
CLI005724,OF003,mal_momento,31.0,0.0,8.666666666666666,mal_momento,31.0
CLI005751,OF004,,,3.0,1.0,,
CLI005760,OF002,,,0.0,23.83333333333333,,
CLI005776,OF002,otro,92.0,0.0,17.5,,
CLI005816,OF002,,,0.0,16.666666666666668,,
CLI005835,OF003,otro,0.0,1.0,15.0,,
CLI005882,OF003,mal_momento,31.0,3.0,5.333333333333333,,
CLI005942,OF004,no_confia,31.0,0.0,15.166666666666666,,
CLI005946,OF003,,,0.0,27.83333333333333,,
CLI005948,OF004,,,3.0,8.5,,
CLI005961,OF004,,,0.0,19.0,,
CLI005979,OF004,no_confia,61.0,0.0,8.833333333333334,mal_momento,61.0
CLI005984,OF004,precio,92.0,3.0,4.333333333333333,,
CLI006010,OF003,,,1.0,23.83333333333333,,
CLI006024,OF002,precio,0.0,0.0,14.666666666666666,,
CLI006049,OF002,,,0.0,20.166666666666668,,
CLI006062,OF004,mal_momento,31.0,2.0,10.166666666666666,,
CLI006097,OF003,,,3.0,0.0,,
CLI006107,OF004,precio,31.0,0.0,35.166666666666664,precio,31.0
CLI006115,OF002,,,0.0,18.0,,
CLI006214,OF004,ya_tiene_similar,31.0,2.0,17.166666666666668,,
CLI006291,OF002,precio,0.0,3.0,8.5,,
CLI006299,OF003,,,0.0,17.833333333333332,,
CLI006368,OF003,precio,61.0,0.0,12.0,,
CLI006369,OF003,precio,120.0,1.0,17.666666666666668,precio,120.0
CLI006371,OF002,mal_momento,0.0,0.0,0.0,,
CLI006409,OF004,precio,0.0,0.0,5.5,,
CLI006419,OF004,,,0.0,16.833333333333332,,
CLI006460,OF002,,,0.0,20.33333333333333,,
CLI006485,OF004,,,3.0,23.33333333333333,,
CLI006567,OF003,no_confia,120.0,0.0,31.5,,
CLI006569,OF004,precio,61.0,0.0,20.166666666666668,,
CLI006579,OF003,otro,151.0,2.0,19.5,otro,151.0
CLI006598,OF004,ya_tiene_similar,61.0,0.0,9.833333333333334,,
CLI006638,OF002,,,1.0,28.166666666666668,,
CLI006647,OF002,,,0.0,31.166666666666668,,
CLI006653,OF002,no_necesita,0.0,0.0,8.5,no_confia,0.0
CLI006710,OF002,,,0.0,17.166666666666668,,
CLI006722,OF004,ya_tiene_similar,0.0,0.0,4.0,,
CLI006735,OF002,ya_tiene_similar,31.0,0.0,0.0,ya_tiene_similar,31.0
CLI006738,OF004,,,0.0,17.0,,
CLI006744,OF003,no_necesita,61.0,0.0,22.666666666666668,,
CLI006754,OF002,,,2.0,23.33333333333333,,
CLI006762,OF002,precio,61.0,0.0,2.1666666666666665,precio,61.0
CLI006765,OF004,otro,61.0,0.0,0.0,,
CLI006830,OF004,ya_tiene_similar,0.0,0.0,0.0,ya_tiene_similar,0.0
CLI006858,OF003,no_confia,31.0,0.0,0.0,,
CLI006886,OF003,,,0.0,30.666666666666668,,
CLI006905,OF004,precio,31.0,0.0,0.0,,
CLI006908,OF003,,,3.0,3.333333333333333,,
CLI006959,OF004,ya_tiene_similar,31.0,0.0,10.166666666666666,,
CLI006965,OF003,,,1.0,26.166666666666668,,
CLI006968,OF003,precio,0.0,0.0,14.0,precio,0.0
CLI007087,OF004,precio,61.0,0.0,0.0,,
CLI007135,OF002,,,0.0,23.666666666666668,,
CLI007144,OF003,,,1.0,29.5,,
CLI007167,OF002,precio,31.0,0.0,0.0,precio,31.0
CLI007170,OF002,ya_tiene_similar,0.0,0.0,0.0,,
CLI007201,OF003,precio,61.0,2.0,0.0,,
CLI007245,OF003,mal_momento,0.0,0.0,3.8333333333333335,mal_momento,0.0
CLI007250,OF003,ya_tiene_similar,0.0,0.0,0.0,precio,151.0
CLI007258,OF002,no_necesita,0.0,0.0,16.5,no_necesita,0.0
CLI007281,OF002,mal_momento,61.0,0.0,2.333333333333333,,
CLI007285,OF002,no_necesita,120.0,3.0,17.666666666666668,,
CLI007379,OF003,otro,0.0,0.0,0.0,otro,0.0
CLI007422,OF002,,,0.0,19.33333333333333,,
CLI007536,OF004,precio,61.0,0.0,2.6666666666666665,,
CLI007588,OF004,no_necesita,151.0,0.0,15.0,,
CLI007589,OF002,,,3.0,12.0,,
CLI007610,OF004,,,3.0,11.166666666666666,,
CLI007648,OF003,mal_momento,151.0,2.0,16.666666666666668,mal_momento,151.0
CLI007746,OF003,,,0.0,19.33333333333333,,
CLI007770,OF004,no_necesita,31.0,0.0,4.666666666666667,,
CLI007796,OF002,,,0.0,19.5,,
CLI007901,OF003,no_confia,120.0,2.0,18.33333333333333,,
CLI007943,OF004,precio,31.0,0.0,13.666666666666666,precio,31.0
CLI007963,OF002,no_confia,0.0,0.0,0.0,,
CLI008009,OF004,ya_tiene_similar,61.0,0.0,1.8333333333333333,,
CLI008016,OF003,precio,120.0,3.0,21.5,,
CLI008042,OF004,,,3.0,12.166666666666666,,
CLI008075,OF003,no_necesita,0.0,0.0,9.166666666666666,,
CLI008086,OF002,no_confia,31.0,1.0,16.5,,
CLI008107,OF003,,,3.0,0.0,,
CLI008112,OF002,no_necesita,0.0,0.0,0.0,,
CLI008115,OF002,no_necesita,31.0,0.0,7.5,precio,151.0
CLI008136,OF003,,,3.0,2.333333333333333,,
CLI008169,OF002,mal_momento,31.0,0.0,7.0,mal_momento,31.0
CLI008187,OF003,,,3.0,6.166666666666667,,
CLI008201,OF004,,,3.0,9.0,,
CLI008252,OF003,,,0.0,21.5,,
CLI008262,OF003,,,3.0,9.166666666666666,,
CLI008265,OF004,,,3.0,9.833333333333334,,
CLI008307,OF003,precio,31.0,0.0,8.166666666666666,,
CLI008385,OF004,mal_momento,0.0,1.0,1.8333333333333333,,
CLI008432,OF004,,,3.0,8.666666666666666,,
CLI008452,OF003,precio,0.0,0.0,7.166666666666667,precio,0.0
CLI008478,OF002,no_necesita,31.0,0.0,16.333333333333332,,
CLI008486,OF002,precio,31.0,0.0,3.5,,
CLI008511,OF004,ya_tiene_similar,31.0,0.0,0.0,ya_tiene_similar,31.0
CLI008567,OF002,precio,0.0,0.0,5.666666666666667,precio,0.0
CLI008585,OF003,,,3.0,1.6666666666666667,,
CLI008586,OF004,,,0.0,26.666666666666668,,
CLI008610,OF003,no_necesita,92.0,0.0,24.0,,
CLI008654,OF002,,,0.0,19.33333333333333,,
CLI008660,OF004,,,3.0,0.0,,
CLI008683,OF002,precio,151.0,0.0,27.0,precio,151.0
CLI008684,OF004,,,1.0,17.0,,
CLI008689,OF002,no_confia,0.0,0.0,19.83333333333333,,
CLI008744,OF004,,,1.0,17.5,,
CLI008746,OF003,precio,61.0,0.0,8.666666666666666,,
CLI008783,OF002,ya_tiene_similar,92.0,0.0,17.333333333333332,,
CLI008786,OF004,precio,31.0,1.0,0.0,,
CLI008796,OF002,precio,0.0,0.0,8.833333333333334,,
CLI008810,OF004,ya_tiene_similar,61.0,0.0,0.0,,
CLI008867,OF004,,,3.0,15.0,,
CLI008932,OF002,otro,0.0,0.0,17.833333333333332,,
CLI009019,OF004,,,3.0,10.666666666666666,,
CLI009052,OF003,no_confia,0.0,1.0,9.833333333333334,no_confia,0.0
CLI009124,OF002,,,3.0,19.5,,
CLI009128,OF002,no_confia,0.0,0.0,7.5,no_confia,0.0
CLI009138,OF002,no_necesita,31.0,0.0,9.5,no_necesita,31.0
CLI009143,OF002,,,0.0,15.833333333333334,,
CLI009177,OF003,,,0.0,20.5,,
CLI009187,OF002,otro,31.0,0.0,19.666666666666668,otro,31.0
CLI009195,OF002,,,0.0,19.166666666666668,,
CLI009219,OF003,,,0.0,19.166666666666668,,
CLI009275,OF003,precio,92.0,1.0,16.166666666666668,precio,92.0
CLI009279,OF003,otro,0.0,0.0,0.0,,
CLI009323,OF003,mal_momento,0.0,0.0,9.166666666666666,,
CLI009328,OF002,,,0.0,22.5,,
CLI009354,OF002,,,0.0,26.33333333333333,,
CLI009370,OF004,,,3.0,0.0,,
CLI009379,OF003,mal_momento,0.0,0.0,6.666666666666667,,
CLI009466,OF002,,,0.0,26.166666666666668,,
CLI009468,OF003,,,0.0,21.83333333333333,,
CLI009470,OF003,no_confia,0.0,0.0,4.666666666666667,no_confia,0.0
CLI009491,OF003,no_confia,0.0,0.0,0.0,no_confia,0.0
CLI009498,OF003,precio,151.0,3.0,1.3333333333333333,,
CLI009623,OF002,mal_momento,61.0,0.0,8.666666666666666,mal_momento,61.0
CLI009632,OF003,no_necesita,120.0,0.0,21.33333333333333,precio,120.0
CLI009636,OF004,,,0.0,15.0,,
CLI009689,OF003,no_necesita,0.0,0.0,0.0,,
CLI009726,OF003,ya_tiene_similar,0.0,0.0,5.5,ya_tiene_similar,0.0
CLI009819,OF003,mal_momento,31.0,3.0,4.166666666666667,,
CLI009836,OF004,,,2.0,16.5,,
CLI009842,OF003,,,1.0,17.666666666666668,,
CLI009854,OF003,,,1.0,22.666666666666668,,
CLI009872,OF004,,,2.0,16.5,,
CLI009891,OF003,precio,61.0,0.0,15.666666666666666,mal_momento,151.0
CLI009893,OF004,,,2.0,22.5,,
CLI009931,OF002,mal_momento,0.0,0.0,0.0,,
CLI009934,OF004,no_necesita,0.0,0.0,0.0,,
CLI009937,OF003,,,0.0,22.0,,
CLI009942,OF004,,,3.0,9.166666666666666,,
CLI009955,OF003,no_confia,0.0,0.0,18.33333333333333,,
CLI009982,OF002,,,0.0,23.83333333333333,,
CLI010021,OF003,precio,0.0,0.0,1.0,,
CLI010048,OF003,precio,0.0,0.0,0.0,no_necesita,120.0
CLI010065,OF004,,,3.0,15.0,,
CLI010067,OF002,no_necesita,31.0,0.0,0.0,no_necesita,31.0
CLI010120,OF003,,,0.0,15.5,,
CLI010185,OF004,ya_tiene_similar,31.0,3.0,13.166666666666666,,
CLI010238,OF002,precio,0.0,0.0,15.166666666666666,,
CLI010241,OF002,precio,61.0,0.0,0.0,,
CLI010276,OF002,precio,0.0,0.0,6.833333333333333,ya_tiene_similar,120.0
CLI010310,OF004,,,0.0,16.333333333333332,,
CLI010311,OF004,,,1.0,19.33333333333333,,
CLI010405,OF002,precio,31.0,0.0,19.5,precio,31.0
CLI010435,OF002,precio,31.0,0.0,0.0,precio,31.0
CLI010436,OF003,,,1.0,27.83333333333333,,
CLI010448,OF003,no_necesita,31.0,0.0,18.666666666666668,no_confia,61.0
CLI010452,OF004,precio,61.0,0.0,0.0,,
CLI010458,OF004,,,0.0,16.166666666666668,,
CLI010460,OF004,no_confia,0.0,1.0,7.666666666666667,,
CLI010481,OF004,ya_tiene_similar,61.0,0.0,9.166666666666666,,
CLI010517,OF002,,,3.0,2.333333333333333,,
CLI010584,OF004,mal_momento,31.0,0.0,0.0,mal_momento,31.0
CLI010609,OF004,precio,61.0,0.0,2.833333333333333,,
CLI010610,OF003,no_necesita,120.0,0.0,34.5,,
CLI010637,OF004,,,1.0,24.166666666666668,,
CLI010639,OF003,no_confia,31.0,0.0,8.333333333333334,,
CLI010648,OF002,,,0.0,20.166666666666668,,
CLI010651,OF004,precio,31.0,0.0,15.166666666666666,,
CLI010752,OF003,,,0.0,26.33333333333333,,
CLI010799,OF004,no_necesita,0.0,0.0,2.6666666666666665,no_necesita,0.0
CLI010806,OF003,,,0.0,18.33333333333333,,
CLI010809,OF002,,,0.0,15.5,,
CLI010846,OF002,no_necesita,0.0,0.0,4.5,no_necesita,0.0
CLI010863,OF002,no_necesita,61.0,0.0,14.0,,
CLI010928,OF003,no_necesita,31.0,0.0,1.8333333333333333,,
CLI010936,OF002,,,0.0,18.83333333333333,,
CLI010952,OF004,,,2.0,17.0,,
CLI010970,OF002,precio,61.0,0.0,8.166666666666666,precio,61.0
CLI010985,OF003,precio,31.0,0.0,9.0,,
CLI011032,OF003,precio,61.0,0.0,3.5,,
CLI011046,OF003,otro,0.0,0.0,2.1666666666666665,otro,0.0
CLI011059,OF002,mal_momento,61.0,3.0,0.0,,
CLI011081,OF002,,,0.0,26.5,,
CLI011107,OF002,no_necesita,0.0,0.0,7.833333333333333,,
CLI011136,OF004,,,1.0,17.833333333333332,,
CLI011139,OF003,no_necesita,31.0,0.0,11.0,,
CLI011152,OF003,,,1.0,17.666666666666668,,
CLI011252,OF003,precio,120.0,1.0,16.666666666666668,precio,120.0
CLI011257,OF003,,,1.0,16.5,,
CLI011314,OF003,,,3.0,0.0,,
CLI011318,OF002,,,0.0,25.0,,
CLI011339,OF003,no_confia,0.0,0.0,0.0,no_confia,0.0
CLI011372,OF002,,,1.0,28.666666666666668,,
CLI011374,OF003,precio,120.0,0.0,24.33333333333333,precio,120.0
CLI011389,OF002,,,0.0,19.5,,
CLI011393,OF003,,,0.0,25.666666666666668,,
CLI011438,OF002,no_confia,0.0,1.0,14.833333333333334,,
CLI011457,OF002,,,3.0,4.166666666666667,,
CLI011469,OF004,ya_tiene_similar,61.0,0.0,0.0,,
CLI011492,OF004,,,0.0,15.666666666666666,,
CLI011543,OF002,,,0.0,19.33333333333333,,
CLI011560,OF003,mal_momento,0.0,0.0,20.5,,
CLI011561,OF004,mal_momento,0.0,3.0,0.0,ya_tiene_similar,151.0
CLI011570,OF002,,,1.0,26.166666666666668,,
CLI011584,OF002,,,0.0,20.666666666666668,,
CLI011614,OF003,precio,31.0,0.0,0.0,,
CLI011615,OF003,mal_momento,61.0,0.0,5.333333333333333,,
CLI011647,OF003,precio,0.0,0.0,21.666666666666668,precio,0.0
CLI011657,OF003,mal_momento,61.0,0.0,0.0,,
CLI011670,OF002,,,3.0,7.833333333333333,,
CLI011673,OF002,precio,31.0,0.0,0.8333333333333334,,
CLI011678,OF003,no_necesita,31.0,0.0,18.666666666666668,,
CLI011690,OF002,,,0.0,15.5,,
CLI011715,OF003,no_necesita,61.0,2.0,10.333333333333334,,
CLI011722,OF004,precio,31.0,0.0,0.0,,
CLI011749,OF002,precio,0.0,0.0,12.833333333333334,precio,0.0
CLI011763,OF003,,,0.0,15.333333333333334,,
CLI011787,OF002,no_necesita,31.0,3.0,17.833333333333332,,
CLI011874,OF004,mal_momento,61.0,1.0,26.5,,
CLI011879,OF003,,,3.0,12.833333333333334,,
CLI011892,OF004,precio,61.0,0.0,15.666666666666666,precio,61.0
CLI011896,OF002,no_necesita,31.0,0.0,2.1666666666666665,,
CLI011916,OF002,,,0.0,24.166666666666668,,
CLI011968,OF002,mal_momento,31.0,0.0,0.0,,
CLI011975,OF003,precio,0.0,1.0,0.0,,
CLI011976,OF003,no_confia,0.0,0.0,1.0,,
CLI012018,OF003,no_necesita,61.0,0.0,0.0,,
CLI012056,OF003,ya_tiene_similar,120.0,3.0,13.333333333333334,,
CLI012085,OF004,no_necesita,31.0,0.0,1.3333333333333333,,
CLI012096,OF004,,,2.0,30.666666666666668,,
CLI012119,OF002,,,1.0,23.666666666666668,,
CLI012121,OF004,no_necesita,31.0,1.0,9.833333333333334,,
