cliente_id,ranking_oferta,oferta_id,nombre_oferta,precio_mensual,ahorro_pct,gb_incluidos,canal,score_propension_lr,score_ranking_nbo
CLI000084,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8109549389144235,0.8279140168079885
CLI000084,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8137283887251857,0.8259847004174199
CLI000094,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7833410168427684,0.8068584755607879
CLI000094,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7753340928760212,0.8068584755607879
CLI000094,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7784873853999417,0.8067255440545383
CLI000115,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7960014343154612,0.8098564421767361
CLI000115,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7883359680178902,0.8098564421767361
CLI000115,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7913558808448157,0.8092578754478809
CLI000135,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7993984898921436,0.8126922166349099
CLI000135,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7918272887243112,0.8126922166349099
CLI000135,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7948103544535672,0.8116490535861791
CLI000149,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8152274710007322,0.8263487981028843
CLI000149,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8081102875304589,0.8263487981028843
CLI000149,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.810915740097452,0.8262263919301103
CLI000157,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7307213037841791,0.6441896881235158
CLI000157,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7362669835334164,0.6441896881235158
CLI000157,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7271263871963148,0.6441896881235158
CLI000158,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7954786879344374,0.8150012310435161
CLI000158,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7877988153212361,0.8150012310435161
CLI000158,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7908243584614991,0.8116855780833929
CLI000159,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8185846508482534,0.8141853226281945
CLI000159,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8227597281386289,0.8131611678540925
CLI000159,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8158671456063833,0.8131611678540925
CLI000168,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7774190629823201,0.7730335198804966
CLI000168,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7822895564312463,0.7730335198804966
CLI000168,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7742549725582587,0.7730335198804966
CLI000175,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8192287402254933,0.8134104623798756
CLI000175,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8122301811873603,0.8134104623798756
CLI000175,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8149891903553855,0.8132809967837447
CLI000201,1,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.7830205197260505,0.8065472304591507
CLI000201,2,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.7878018985348656,0.8043637196539237
CLI000201,3,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.7799135141895553,0.8043637196539237
CLI000208,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7790602359309258,0.770444035348779
CLI000208,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7839047996694449,0.770444035348779
CLI000208,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7759127507685775,0.770444035348779
CLI000209,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7492351673658456,0.6913319641748124
CLI000209,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7545276477068291,0.6913319641748124
CLI000209,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7458014324806449,0.6764294232385191
CLI000212,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8061862240939132,0.8108961672643199
CLI000212,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7988067318331701,0.8108961672643199
CLI000212,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8017148287083266,0.8107653629766187
CLI000218,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7820499801744956,0.7617365650470244
CLI000218,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7740091089406556,0.7617365650470244
CLI000218,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7771756536884156,0.7615817545546941
CLI000228,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8077733607911489,0.8039923962467646
CLI000228,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8004393402635926,0.8039923962467646
CLI000228,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8033296489957991,0.8038579716617245
CLI000235,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8035788195693924,0.8097854971039363
CLI000235,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7961251559985899,0.8097854971039363
CLI000235,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.79906226301365,0.8077001433411741
CLI000253,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8043201749508875,0.7940738687165163
CLI000253,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7968875330934252,0.7940738687165163
CLI000253,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7998164186606475,0.7939343853135008
CLI000278,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.808100472829715,0.7963917806912716
CLI000278,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8007758545404947,0.7963917806912716
CLI000278,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.803662484910249,0.7952807045157932
CLI000296,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.808404215867244,0.8106687866125182
CLI000296,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8010883374280585,0.8106687866125182
CLI000296,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8039715484877419,0.810537861792102
CLI000299,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7519704563840889,0.7401430437801754
CLI000299,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7572239135993434,0.7401430437801754
CLI000299,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7485616064777122,0.7401430437801754
CLI000312,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.816379424287475,0.8125552051814925
CLI000312,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8092962327412258,0.8125552051814925
CLI000312,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8120883784338704,0.8124252830079354
CLI000320,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7885249985467857,0.8121119784766055
CLI000320,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7806560108290737,0.8121119784766055
CLI000320,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7837554406996607,0.8119818201785078
CLI000329,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7940737978015063,0.7950063256437676
CLI000329,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7863553393112527,0.7950063256437676
CLI000329,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7893959614391499,0.7943728806738375
CLI000330,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8189555777281999,0.8117074848177154
CLI000330,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8119488707706372,0.8117074848177154
CLI000330,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8147110704544203,0.8115771113223681
CLI000331,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8062191462792854,0.8114631239707529
CLI000331,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7988405947588403,0.8114631239707529
CLI000331,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.801748323648237,0.8108684338503555
CLI000342,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8077395994166782,0.8059088053908559
CLI000342,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8004046090720495,0.8059088053908559
CLI000342,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.803295297212405,0.8057753776024124
CLI000352,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7663134369124717,0.72920526995082
CLI000352,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7713554709150987,0.72920526995082
CLI000352,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7630395947876027,0.72920526995082
CLI000357,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.803837971095417,0.7578877895005254
CLI000357,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7963916499008391,0.7578877895005254
CLI000357,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7993258854205499,0.7577312736349733
CLI000359,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7964808919742807,0.7306769897625285
CLI000359,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8010410239683096,0.7293455676815095
CLI000359,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7935158032880482,0.7293455676815095
CLI000365,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7694542940102125,0.7311928492899558
CLI000365,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7744485068771366,0.7311928492899558
CLI000365,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7662110296190248,0.7311928492899558
CLI000373,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8085561146695334,0.8039967448969062
CLI000373,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8129092385217986,0.8029300261437797
CLI000373,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8057240397501633,0.8029300261437797
CLI000386,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7706953508599194,0.7220975796099245
CLI000386,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7756705172431556,0.7220975796099245
CLI000386,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7674642691416311,0.7220975796099245
CLI000391,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8236301790225639,0.8167663547626268
CLI000391,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8167639080996648,0.8167663547626268
CLI000391,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8194711070576651,0.8166386927646896
CLI000397,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.6842148318222118,0.4983877698290122
CLI000397,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.6802707091277721,0.4905177136824759
CLI000397,3,OF021,Movistar Total Plus,189.9,35,60,Call In,0.6903123745394412,0.4373598459682822
CLI000398,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.785814088929987,0.790844719133479
CLI000398,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7778726441303042,0.790844719133479
CLI000398,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7810003708118359,0.7847444265440318
CLI000415,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7715478707968376,0.6707908696546497
CLI000415,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7765099040933066,0.6707908696546497
CLI000415,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.768325190682457,0.6707908696546497
CLI000422,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8269311137346587,0.8022870757394663
CLI000422,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8201652926547377,0.8022870757394663
CLI000422,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.82283313888866,0.8000486442713033
CLI000429,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7115971436605028,0.6236766642269829
CLI000429,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7173843493689501,0.6236766642269829
CLI000429,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7078489925433734,0.6236766642269829
CLI000439,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7821279800149823,0.7777631402789544
CLI000439,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7869236748085364,0.7777631402789544
CLI000439,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.779011800894143,0.7777631402789544
CLI000440,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7706313571494473,0.7780764477932265
CLI000440,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7756075077313566,0.7780764477932265
CLI000440,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7673996458545432,0.7780764477932265
CLI000452,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8069857879640593,0.7936146716007749
CLI000452,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.811366288239532,0.7936146716007749
CLI000452,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8041361100945815,0.7936146716007749
CLI000469,1,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.7979309492095316,0.7802166763064952
CLI000469,2,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8024666485412664,0.7778178403118844
CLI000469,3,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.7949815485908779,0.7778178403118844
CLI000471,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7773986851313341,0.787519144315603
CLI000471,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7822694996021343,0.787519144315603
CLI000471,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7742343891511312,0.787519144315603
CLI000474,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8199713946168428,0.8194698379862756
CLI000474,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8129950242673448,0.8194698379862756
CLI000474,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8157453445654967,0.8114159046598537
CLI000476,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8128407011354829,0.8133129055752895
CLI000476,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8056534994803958,0.8133129055752895
CLI000476,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8084863582870738,0.8131833878355565
CLI000491,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8158469663323975,0.8194618033429626
CLI000491,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8087480469311887,0.8194618033429626
CLI000491,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.811546349785699,0.8193356039140124
CLI000495,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8139236440307689,0.7876066005511194
CLI000495,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.806768142877955,0.7876066005511194
CLI000495,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8095885942528592,0.7874639090401703
CLI000498,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.7991275398818886,0.7743874240738924
CLI000498,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.7915487790035345,0.7743874240738924
CLI000498,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.7945348001227981,0.7742383972409524
CLI000527,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8297744368964768,0.8147879477296901
CLI000527,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8230959913552576,0.8147879477296901
CLI000527,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8257295987591232,0.8146592201264046
CLI000538,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7951294990045257,0.748909036584082
CLI000538,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7874400178965867,0.748909036584082
CLI000538,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7904693161134287,0.7487486405624132
CLI000545,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8308904488430728,0.8233712135623625
CLI000545,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.824246513786821,0.8233712135623625
CLI000545,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8268665959088694,0.8228058824387792
CLI000561,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8051399722354561,0.8124565804935546
CLI000561,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.809552477443466,0.811425104279502
CLI000561,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8022697199080566,0.811425104279502
CLI000564,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7571395488863155,0.7631951220180434
CLI000564,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7623181267293501,0.7603341465911759
CLI000564,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7537784797306508,0.7603341465911759
CLI000565,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8278454262705159,0.8141800486368898
CLI000565,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8211076161389977,0.8141800486368898
CLI000565,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8237644868702482,0.8140509949501468
CLI000569,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.804435449990833,0.8123599035453607
CLI000569,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8088601213786313,0.8102702317069923
CLI000569,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8015573779157955,0.8102702317069923
CLI000573,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7480504301329505,0.7501600151363743
CLI000573,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7533596836204663,0.7501600151363743
CLI000573,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7446060024511418,0.7436866761847681
CLI000574,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7127803194757879,0.575389761583144
CLI000574,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7185531734396213,0.575389761583144
CLI000574,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7090412578910406,0.558154791286487
CLI000577,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8220045566701114,0.8215822894788761
CLI000577,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8150892069207226,0.8215822894788761
CLI000577,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.817815629535558,0.8210124772806086
CLI000596,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7944122797801202,0.8197662349413073
CLI000596,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7990070654194087,0.8197662349413073
CLI000596,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7914249455008092,0.8197662349413073
CLI000598,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7871421273767519,0.8294178046182982
CLI000598,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7918568250194763,0.8294178046182982
CLI000598,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7840778658517256,0.8294178046182982
CLI000599,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8000774956851058,0.8151968148702089
CLI000599,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8045768133922097,0.8146102781435898
CLI000599,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7971514611575051,0.8146102781435898
CLI000601,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7776668829000132,0.7996725273364059
CLI000601,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7695119638200039,0.7996725273364059
CLI000601,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7727230188267044,0.7995358788166556
CLI000605,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7956806254612734,0.8204241824921342
CLI000605,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8002541916945404,0.8204241824921342
CLI000605,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7927069120446346,0.8204241824921342
CLI000608,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8187701467511467,0.7969289692229354
CLI000608,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.811757912877548,0.7969289692229354
CLI000608,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8145222767201654,0.7962999431015131
CLI000617,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8062780518325234,0.8029666848308594
CLI000617,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.7989011837810834,0.8029666848308594
CLI000617,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8018082541518964,0.8028317293101885
CLI000621,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7982785143146833,0.8074248954814949
CLI000621,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7906761111249121,0.8074248954814949
CLI000621,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.79367137452186,0.8072922607099904
CLI000623,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7957232789488754,0.753242317210754
CLI000623,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7880501436950683,0.753242317210754
CLI000623,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7910730537545178,0.7530837766326656
CLI000627,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.812601067144681,0.7916869882723436
CLI000627,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8054068662023722,0.7916869882723436
CLI000627,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8082424643517029,0.7915463125382326
CLI000632,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7713480974095366,0.7636410583998731
CLI000632,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7763132118335169,0.7611166988815868
CLI000632,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7681234461160741,0.7611166988815868
CLI000633,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7820281609793737,0.7573658789611196
CLI000633,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7868254540878205,0.7573658789611196
CLI000633,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7789109577417026,0.7573658789611196
CLI000641,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8268273419043334,0.8159532152480501
CLI000641,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8200583468102514,0.8159532152480501
CLI000641,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8227274366659653,0.8158251144699619
CLI000648,1,OF021,Movistar Total Plus,189.9,35,60,Call Out,0.8226029063067993,0.7988361882239285
CLI000648,2,OF022,Movistar Total Max,229.9,50,9999,Call Out,0.8157055912772407,0.7988361882239285
CLI000648,3,OF020,Movistar Total Basico,149.9,20,30,Call Out,0.8184249501683611,0.7986991128243304
CLI000656,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8016211874098872,0.809285013566462
CLI000656,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7941122702032553,0.809285013566462
CLI000656,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7970709841069432,0.8086850729419499
CLI000659,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7455221050417637,0.711730736375948
CLI000659,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7508668930499006,0.711730736375948
CLI000659,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7420550311760823,0.711730736375948
CLI000662,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8212389813793513,0.818843998490234
CLI000662,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.814300607438074,0.818843998490234
CLI000662,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8170360475373373,0.818717462740598
CLI000674,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7459696786347139,0.695933039315565
CLI000674,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7513082020560503,0.695933039315565
CLI000674,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7425065965097579,0.695933039315565
CLI000695,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7457170965632206,0.7194049690179628
CLI000695,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.751059156687026,0.7194049690179628
CLI000695,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7422517608455731,0.7050187696212479
CLI000697,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.807764014547686,0.8166709103353051
CLI000697,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8004297255322216,0.8166709103353051
CLI000697,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8033201393013523,0.8165431967759096
CLI000703,1,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7772846130279105,0.7270096066985483
CLI000703,2,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7821572241053358,0.7270096066985483
CLI000703,3,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7741191666590354,0.7270096066985483
CLI000710,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.8143889501334547,0.8080669043224171
CLI000710,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.8072471047113464,0.8080669043224171
CLI000710,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.8100622109621527,0.8079346065471369
CLI000715,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7866821316285105,0.8264944981479033
CLI000715,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.7787638103395964,0.8264944981479033
CLI000715,3,OF020,Movistar Total Basico,149.9,20,30,Call In,0.7818825072850022,0.8211988978247302
CLI000719,1,OF021,Movistar Total Plus,189.9,35,60,Call In,0.7919395577670156,0.7814530869018271
CLI000719,2,OF022,Movistar Total Max,229.9,50,9999,Call In,0.784162847795854,0.7814530869018271
